,Generated Text,Actual Text
0,소속사 커넥트엔터테인먼트 측은 19일 공식 홈페이지를 통해 가수 강다니엘이 각 관할 지역으로 사건이 이관될 예정이다.,가수 강다니엘이 모욕죄 혐의로 악플러에 대한 고소장을 서울강남경찰서에 제출하며 합의나 선처없는 강경 대응을 하겠다고 선언했다.
1,"시의회가 지역 청소년들의 지방의회 역할 이해 및 입법체험을 위해 운영하는 '2019년 안산시 청소년의회'가 최근 의장단 구성을 마치고 본격적인 활동에 들어갔는데, 앞서 지난 7월 22일과 29일 두 차례 걸쳐 안산시 각 중학교에서 선발된 청소년 의원들이 참석한 가운데 의장·부의장 및 상임위원장 선거를 실시한 바 있고 이번 선거에서 김주란(안산성호중 3학년) 청소년의원이 의장에, 권시윤(반월중 3학년) 청소년의원은 부의장에 선출됐다.","안산시의회는 지난 7월 22일과 29일에 청소년의회 제1·2차 본회의를 열어 실제 의회의 의장단 선출 과정과 동일한 방식으로 의장·부의장 및 상임위원장 선거를 실시해 ‘2019년 안산시 청소년의회’ 의장단을 구성했으며, 본격적인 활동을 시작했다."
2,"대회 경기장에서 카메라를 이용해 불법 촬영한 혐의로 일본인이 기소 의견으로 검찰에 송치되었으며, A씨는 지난 14일 오전 11시께 남부대학교 국제수영장 수구 연습경기장에서 몸을 풀고 있는 여자선수의 신체 일부분을 촬영하는 등 6명의 여자선수들을 총 3회, 2분2초 동안 촬영한 혐의를 받고 있다.",2019 광주세계수영선수권대회에서 18일 일본인A씨가 12명의 여자선수들의 신체 일부분을 불법 촬영하던 중 외국인 선수 관계자의 신고로 잡혀 검찰에 송치됐다.
3,", 복층 설계, 다양한 공간 활용으로 주거만족도를 높여준 익산 오투그란데 글로벌카운티가 11일 모델하우스를 열고 분양에 나선다.","제일건설은 실수요자들에게 선호도 높은 전용 면적과 효율적인 공간 활용을 강점으로 197세대에 이르는 다양한 주거 공간을 건설해, 이를 홍보하기 위한 일정으로 지난 11일 '익산 오투그란데 글로벌카운티' 모델하우스를 열어 분양에 박차를 가했다."
4,"사업 1위를 차지한 에이치엘비 종목은 현재 +14.87%이며, 148,300원에 거래되고 있으며, 등락률 2위인 한라IMS 종목은 +3.15%이며, 7,210원에 거래되고 있다.","월요일 11시 00분 현재 조선업종 내 상승종목 등락률 1위를 차지한 에이치엘비종목의 이시간 등락률은 +14.87%, 148,300원에 거래되고 있고, 2위인 한라IMS종목 이시간 등락률은 +3.15%, 7,210원에 거래되고 있으며 3위 케이에스피종목의 등락률은 +0.91%, 1,655원에 거래되고 있다."
5,"관련 조사를 진행한 결과, 전 남편 살해·유기한 혐의를 받는 고유정의 의붓아들 의문사 사건을 수사한 경찰이 고 씨가 의붓아들을 살해한 것으로 잠정 결론을 내렸으며 수사 마무리 후 최종 판단 발표를 조율하고 있는 것으로 알려졌다.","경찰은 고유정을 살인과 과실치사 혐의로 각각 입건해 5개월이 넘는 수사와 전문가의 자문을 거쳤으며, 고씨가 남편 A씨와 의붓아들인 B군을 살해한 것으로 잠정 결론 내렸다."
6,"도 특별 자치도는 제주시 오라동, 서귀포시 서호동·강정동 관내 수도미터 계량기 1000전을 디지털 수도미터기로 교체해 요금의 투명성을 확보하고 사용량 조회, 누수알림 등의 서비스를 제공할 수 있다고 전했다.","25일 제주특별자치도는 서호동·강정동 관내 수도미터 계량기 1000전을 디지털 수도미터기로 바꿀 계획이며, 사람이 직접 방문하지 않아도 디지털 수도미터기 및 통신장비를 이용해 수도 사용량을 실시간으로 파악할 수 있는 스마트 원격검침시스템 시범운영에 들어갈 예정이라고 밝혔다."
7,대법관 14명이 참여한 전원합의체는 복지포인트를 통상임금에 포함해 산정한 법정수당을 지급하자는 원심 판결을 깨고 사건을 서울고법으로 돌려보냈는데 이는 복지포인트의 통상임금 포함 여부와 관련해 하급심 판결이 엇갈려 논란이 일자 나온 대법원의 첫 판단이다.,"대법원 전원합의체는 22일 복지포인트는 선택적 근로 복지에 해당하기 때문에 근로기준법상 임금이 아니라고 판결했는데, 이번 판결은 복지포인트는 통상임금으로 볼 수 없다는 대법원의 첫 판결이다."
8,"의회는 지난 5일 예산결산특별위원회 위원장을 송규근 의원, 부위원장에는 박소정 의원을 각각 선출했다고 7일 전한 가운데, 예결특위는 오는 10일까지 각 상임위원회별로 예비심사를 거친 뒤 심사 의결하고 의결된 예산안은 오는 11일에 열리는 제2차 본회의에 회부돼 최종 확정될 예정이며 송규근 위원장은 ""예산이 지역 발전과 시민들의 복리 증진을 위해 사용될 수 있도록 더욱 활발한 의정활동을 펼치겠다""고 밝혔다.","고양시의회는 2019년 제1회 추경예산 편성을 위한 제230회 임시회를 개회하여 지난 5일 예산결산특별위원회를 선출하였다고 7일 전하면서, 세외수입, 지방교부세, 조정교부금, 국도비보조금 등을 반영한 2조5천725억8천300만원의 예산안에 대해 오는 10일까지 각 상임위원회별로 예비심사를 거친 뒤 심사 의결하고 의결된 예산안은 오는 11일에 열리는 제2차 본회의에 회부하여 의결하게 된다고 밝혔다."
9,"화와 법정에서의 치열한 다툼이 예상됨에 따라 경찰수사에서 폴리그래프를 운영하자 분쟁 당사자들의 요구에 의한 폴리그래프검사를 찾으며 전북경찰 조용식 청장은 ""도민들의 과학수사 치안만족도를 향상시키고 공정한 경찰 위상을 정립 시키겠다""고 말했다.",전북경찰청 형사과 과학수사계 3개소에서는 억울한 피해자가 발생하지 않게 하기 위해 ‘거짓말 탐지검사’라 불리는 폴리그래프를 실시할 뿐만 아니라 검사 장비 및 검사관의 역량 발전에 지속적으로 힘써 과학수사 치안만족도를 향상시키고 공정한 경찰 위상을 정립 하기 위해 노력하겠다고 밝혔다.
10,환경을 발전시켜 숙박객의 만족도를 향상시킨 완주군 고산자연휴양림 산림바이오매스가 산림조합중앙회 차원에서 신규 산림비지니스모델을 발굴하기 위해 지난 27일 산림바이오매스 홍보관을 방문했다고 밝혔다.,"완주군은 전국 시,군,지역 실무자 30여명과 함께 지난 27일 산림바이오매스 홍보관을 방문해 전국 최초 산림형 에너지자립 비즈니스모델을 발굴하는 시간을 가졌고, 2020년부터 산림바이오매스를 활용한 열병합 발전설비를 도입해 지역분산형 에너지센터를 조성하는 2단계 산림바이오매스 활용사업도 계획 중이라고 밝혔다."
11,"주재 북한 대사가 향후 북미협상과 관련, 비핵화 이슈는 협상 테이블에서 내려졌다는 입장을 밝히면서 미국이 추구하는 지속적이고 상당한 대화는 국내 정치적 어젠다로서 북미대화를 편의주의적으로 사용하기 위한 시간벌기 속임수라고 했으나, 북한이 미국의 새로운 계산법이라는 시한으로 제시한 연말을 앞두고 북미 긴장수위가 높아지는 상황과도 맞물린 것으로 보인다.","김성 유엔주재 북한 대사가 향후 미북협상과 관련, 비핵화 이슈는 협상 테이블에서 내려졌다면서, 미국의 대화 요구에 대해선 미국 정치상황과 맞물린 '시간벌기 속임수라고 평가했으며, 김 대사는 일부 외신에 보낸 성명에서 ""북한을 질식시키려는 시도에서 적대정책을 이어가고 있다""고 미국 행정부를 비판했다."
12,대학교 대구시는 2019년 지역 내 유망업체를 발굴해 성장 단계별 맞춤형 지원으로 대구경제의 미래성장을 주도할 글로벌 강소기업을 육성하기 위한 프로젝트로 ‘프리(Pre)-스타기업’ 15개사와 ‘스타기업 100’ 5개사를 신규 선정했다.,"대구시는 2007년부터 지역 내 유망 업체를 발굴해 성장 단계별 맞춤형 지원을 통해 대구 경제의 미래 성장을 주도할 글로벌 기업 육성 프로젝트인 '스타기업 육성사업'을 진행하고 있는데, 2019년엔 '프리(Pre)-스타기업' 15개사와 '스타기업100' 5개사를 신규 선정하여 대구시와 원-라운드 테이블 참여기관의 맞춤형 지원과 특성화지원, 성장로드맵 컨설팅 지원 등 다양한 혜택을 지원할 예정이다."
13,"주테마 등락률 1위를 차지한 삼성전자종목의 이시간 등락률은 현재 +0.59%이며, 51,500원에 거래되고 있다.","수요일 10시 27분을 기준으로 코스피 상장사인 삼성전자 종목은 코스피시장에서 +0.59% 상승하여 현재 51,500원에 거래되고 있으며 이어, 삼성SDI는 -0.22%의 등략률을 보이며 224,000원으로 거래 중이다."
14,전 2017년 12월 23일 전주시 한 시장 공용주차장에서 식당 사장을 협박해 돈을 갈취하려던 중국인 불법체류자 A(33·중국)씨에게 공갈미수 및 재물손괴 등의 혐의로 징역 2년 및 벌금 200만원을 선고하였다.,A씨는 17년 12월 23일 오후 전주시 주차장에서 B씨의 차량에 들어가 돈을 요구한 혐의로 기소되었는데 1년 후에도 B씨의 집에 무단 침입하고 협박성 글이 적힌 쪽지를 B씨 차량에 붙인 혐의로 전주지법 형사 6 단독은 A씨에게 공갈미수 및 재물손괴등의 혐의로 징역 2년 및 벌금 200만원을 선고 했다고 6일 밝혔다.
15,"지난해 서울의 강북삼성병원, 부산 북구의 한 아파트에서도 정신질환을 앓던 A(61) 씨가 가족 등을 상대로 흉기 난동을 부리자 경찰 관계자는 ""환자가 인근 병원에서 치료를 받고 있으며 건강에는 이상이 없는 상태""라며 ""추후 경찰은 A 씨를 상대로 난동을 부리게 된 경위를 조사할 계획""이라고 밝혔다.",부산 북부경찰서는 7일 오전 정신질환을 앓던 A(61)씨를 형이 사설 보호시설로 옮기려 하자 A씨가 등산용 접이식 칼을 들고 난동을 부리다가 결국 테이저건으로 제압당해 병원으로 옮겨져 치료를 받고 있으나 건강에는 이상이 없는 상태라고 밝혔다.
16,역사왜곡과 폄훼에 대응하고 5·18교육을 전국적으로 확대시키기 위해 광주시교육청은 '5.18 1010 책자'를 제작하여 전국 학교에 보급할 예정이다.,"광주시교육청이 5·18민주화운동 39주년을 맞아 5·18 역사 왜곡을 교육으로 바로잡고자 ‘5·18 1010(5·18 열흘간의 항쟁, 열 가지 이야기)’ 책자를 제작해 전국 학교에 배포하며, 5·18민주화운동의 전개 과정과 의미를 담은 영상과 카드뉴스를 만들어 전국의 교육청 및 학교 홈페이지, SNS를 통해 공유하는 등 기념사업을 추진할 예정이다."
17,"요양 및 관리 전문업체들과 파트너 계약을 체결해 임대투자를 안정적으로 이어갈 것으로 기대하며 올해 초 'CNL헬스케어프로퍼티'로부터 55개 A급 메디컬 빌딩 포트폴리오를 12억5,000만달러에 인수하는 계약을 체결했다.","웰타워는 세계 최대 헬스케어 리츠로 미국·캐나다·영국 등 고령화가 빠른 선진국에서 헬스케어 및 의료시설 임대사업을 하면서 지난해 5.4%를 배당, 미국 헬스케어 리츠 평균(4.6%) 대비 양호할 뿐만 아니라 임대투자전략을 테네시주와 캘리포니아주 등 미국 핵심지로 분산하여 향후 안정적인 이익을 창출할 것으로 전망된다."
18,학교와 진로체험처를 연결하는 역할을 하는 옥천지역 학교진로교육을 지원하는 진로체험지원센터가 충북도립대학교 산학협력단에 최종 위탁되어 1년간 계속 4년간 위탁운영을 맡게 됐다.,"충북도립대학교 산학협력단이 옥천군 진로체험지원센터의 위탁 기관으로 선정되어 연속 4년간 위탁운영을 맡게 되었는데, 진로체험센터는 지역 내 학교진로교육을 지원하는 곳이다."
19,시는 22일 시청 집현실에서 민관 협력 기구인 일자리추진위원회를 열어 그동안 발굴한 일자리 아이디어에 대한 정책화 방안을 논의했다.,"세종시는 22일 시청 집현실에서 시민과 전문가로 구성된 일자리추진위원회를 열어 청년, 사회적경제, 도시재생, 창업·벤처, 노인·장애인, 여성, 노사민정의 총 7개 분과위원회별로 발굴한 일자리 아이디어에 대한 정책화 방안을 논의했다."
20,협회 경기도회에 따르면 방제공사 수주가 막혀 때문에 나무병원 요건 충족을 위해 '울며 겨자 먹기'로 '제1회 나무의사 자격시험'에 응할 수 밖에 없다고 불만을 외치는 가운데 오는 27일 대전에서 첫 관련 자격시험이 치러진다.,"23일 병해충 방제공사 자격인 ‘나무의사’를 선발하는 1차 필기시험이 오는 27일 대전에서 실시에 따라 산림청 관계자는 “생활 수목 진료와 관리를 농약 오남용과 국민안전 위협을 해결하기 위해 전문성을 제고하는 취지”라며 기존에 있던 식물보호기사.산업기사 등 민간, 국가자격을 통합한 이유를 설명했으나 전문건설협회 경기도회는 “생활조경 병해충 방제공사는 건설산업기본법(건산법)에 따른 업계 고유업역인데 산림청의 업역침해를 규탄한다“고 입장을 밝혔다."
21,연합회가 교육부의 회계시스템(에듀파인) 도입에 반발하며 꺼내들었던 '무기한 개학 연기'방침이 4일 전격 철회함으로써 전북 지역 사립유치원들의 정상 등원이 이뤄졌음에도 불구 도내 학부모들의 불안감도 해소될 것으로 보여진다.,한국사립유치원총연합회는 에듀파인에 반대한 '개학 연기' 투쟁을 철회하였으나 유치원 3법에 대한 불만은 여전한 것으로 나타났다.
22,"인천석유화학과 인천관광공사는 지난달 30일 인천관광공사에서 지역 특화 홍보 콘텐츠 공동 개발, 공동의 친환경 공익 이벤트 추진,플랫폼을 통한 콘텐츠 공유 및 상호 홍보 협력체계 구축 등을 내용으로 하는 '인천 브랜드 제고 및 사회적 가치 창출을 위한 업무협약'을 체결하면서 사회적 가치 창출을 위해 나섰다.",SK인천석유화학과 인천관광공사는 지난 30일 인천관광공사에서 지역 브랜드 가치 제고 및 사회적 가치 창출을 위해 지역 특화 홍보 콘텐츠 공동 개발 및 양사 온라인 플랫폼을 통한 콘텐츠 공유 및 상호 홍보 협력체계 구축 등을 골자로 하는 업무협약을 맺었다고 31일 밝혔다.
23,"원 센터장(충북광역정신건강복지센터), 박상규 교수(꽃동네대), 최영락 원장(온유한 정신건강의학과의원), 안금숙 센터장(우리들정신건강센터), 이상민 팀장(청주시 중독관리통합지원센터), 김용호 보건정책과장(충북도) 등 여섯 명의 지정토론 순으로 진행된 '충청북도 정신건강증진 및 정신질환자 복지서비스 지원 조례' 제정을 위한 토론회가 30일 충북광역정신건강복지센터에서 열렸으며 이 조례안은 내달 10일부터 열리는 정례회에서 심사·의결 될 예정이다.",충북도의회 정책복지위 육미선 의원가 30일 충북광역정신건강복지센터에서 '충청북도 정신건강증진 및 정신질환자 복지서비스 지원 조례' 제정을 위해 연 토론회에서는 정신질환자와 가족의 인간다운 삶의 유지에 도움을 주고자 도민의무와 정신질환자 관련 기밀 누설 금지 조항을 추가할 것과 충북도의 정신건강 문제 조기발견 체계 구축 등에 중독관리통합지원센터도 연계 대상으로 명시해 줄 것 등이 제시됐다.
24,"하락, 겨울철 비수기, 주택 규제 등의 영향으로 입주경기 전망이 상당히 부정적인 것으로 나타나 건설사들이 홍보마케팅과 대출지원 등을 통해 입주지원을 실시하고 있으며, 일부 사업장에서는 무이자 잔금 납부유예 프로모션을 진행하고 있는 것으로 조사됐다.","전셋값 하락, 겨울철 비수기, 주택 규제 등의 영향으로 입주경기 전망이 상당히 부정적인 가운데 기존 주택 매각이 지연됨에 따라 미 입주가 늘고 있어, 건설업계는 올해 입주 리스크 관리가 최대 현안이라고 말했다."
25,"역과 정부세종청사 간 택시 요금 문제나 대전~세종~청주공항을 오가는 시내버스 노선 운영, 복합환승센터 설치 등 충청권 대중교통 체계에도 변화가 있을 것으로 예상되는 '대도시권 광역교통위원회'가 19일 세종에서 공식 출범했다.","19일 대도시권 광역교통문제의 가온머리(컨트롤 타워)로서 권역별 광역교통계획을 수립·추진하고, 그간 원활히 진행되지 못했던 BRT·환승센터 등 세부 개선사업을 추진할 '대도시권 광역교통위원회'가 세종에서 공식 출범했다."
