,Generated Text,Actual Text
0,"대통령 강다니엘이 악플러에 대한 고소장을 제출하며 강경대응을 예고했으며, 소속사 역시 19일 공식 홈페이지를 통해 악성 게시물 법적 대응을 지속해나갈 것이라고 입장을 밝혔다.",가수 강다니엘이 모욕죄 혐의로 악플러에 대한 고소장을 서울강남경찰서에 제출하며 합의나 선처없는 강경 대응을 하겠다고 선언했다.
1,시의회는 지난 7월 22일과 29일 두 차례에 걸쳐 안산시 각 중학교에서 선발된 청소년 의원들이 참석한 가운데 제1·2차 본회의를 열어 의장·부의장 및 상임위원장 선거를 실시하여 의장단 구성을 마치고 본격적인 활동에 들어갔다.,"안산시의회는 지난 7월 22일과 29일에 청소년의회 제1·2차 본회의를 열어 실제 의회의 의장단 선출 과정과 동일한 방식으로 의장·부의장 및 상임위원장 선거를 실시해 ‘2019년 안산시 청소년의회’ 의장단을 구성했으며, 본격적인 활동을 시작했다."
2,"이 2019 광주세계수영선수권대회에서 수구와 다이빙 등 12명의 여자 선수들의 신체 중 가장 불법 촬영한 혐의로 검찰에 송치됐는데, A씨는 추가 동영상이 발견된 것에 대해 성적 호기심을 이용해 촬영했다며 범죄사실을 시인한 것으로 알려졌다.",2019 광주세계수영선수권대회에서 18일 일본인A씨가 12명의 여자선수들의 신체 일부분을 불법 촬영하던 중 외국인 선수 관계자의 신고로 잡혀 검찰에 송치됐다.
3,시세가 실수요에게 선호가 높은 전용면적 84m2로 구성된 '익산 오투그란데 글로벌카운티'가 지난 11일 모델하우스를 열고 본격 분양에 나선다.,"제일건설은 실수요자들에게 선호도 높은 전용 면적과 효율적인 공간 활용을 강점으로 197세대에 이르는 다양한 주거 공간을 건설해, 이를 홍보하기 위한 일정으로 지난 11일 '익산 오투그란데 글로벌카운티' 모델하우스를 열어 분양에 박차를 가했다."
4,1등 종목은 에이치엘비 +14.87% 2위 한라IMS +3.15% 3위 케이에스피 +0.91%이다.,"월요일 11시 00분 현재 조선업종 내 상승종목 등락률 1위를 차지한 에이치엘비종목의 이시간 등락률은 +14.87%, 148,300원에 거래되고 있고, 2위인 한라IMS종목 이시간 등락률은 +3.15%, 7,210원에 거래되고 있으며 3위 케이에스피종목의 등락률은 +0.91%, 1,655원에 거래되고 있다."
5,"고유정은 의붓아들 살인에는 혐의가 있으나, 경찰의 진술과 수사 자료를 분석해 고씨가 현재 결혼 생활에 있어 청사진을 통해 살해했을 가능성이 높다고 내다봤다.","경찰은 고유정을 살인과 과실치사 혐의로 각각 입건해 5개월이 넘는 수사와 전문가의 자문을 거쳤으며, 고씨가 남편 A씨와 의붓아들인 B군을 살해한 것으로 잠정 결론 내렸다."
6,"원이 직접 방문하지 않고 디지털 수도미터기 및 통신장비를 활용해 수도 사용량을 실시간으로 정확하게 파악할 수 있는 스마트 원격검침 시스템을 시범적으로 구축하는 지역인 제주시 오라동과 서귀포시 서호동·강정동 관내 수도미터 계량기 1000전이 디지털 수도미터기로 교체될 예정이며, 하수도본부는 스마트 원격검침시스템에 대한 기술력을 지속적으로 축적하고 효과를 분석한 후 점차적으로 확대해 나갈 방침이다.","25일 제주특별자치도는 서호동·강정동 관내 수도미터 계량기 1000전을 디지털 수도미터기로 바꿀 계획이며, 사람이 직접 방문하지 않아도 디지털 수도미터기 및 통신장비를 이용해 수도 사용량을 실시간으로 파악할 수 있는 스마트 원격검침시스템 시범운영에 들어갈 예정이라고 밝혔다."
7,복지포인트는 통상임금 포함 여부와 관련해 하급심 판결이 엇갈려 논란이 일던 가운데 대법원 전원합의체는 22일 서울의료원 노동자 548명이 회사를 상대로 낸 임금 청구소송 상고심에서 통상임금에 포함해 산정한 법정수당을 지급하라는 원심 판결을 깨고 사건을 서울고법에 돌려보냈다.,"대법원 전원합의체는 22일 복지포인트는 선택적 근로 복지에 해당하기 때문에 근로기준법상 임금이 아니라고 판결했는데, 이번 판결은 복지포인트는 통상임금으로 볼 수 없다는 대법원의 첫 판결이다."
8,"회 고양시의회는 제1회 추경예산 편성을 위한 제230회 임시회를 개회하고 지난 5일 예산결산특별위원회 위원장에 송규근 의원, 부위원장에는 박소정 의원을 각각 선출했다고 7일 밝혔으며 예결특위는 오는 10일까지 각 상임위원회별로 예비심사를 거친 뒤 심사 의결하고 의결된 예산안은 오는 11일에 열리는 제2차 본회의에 회부돼 최종 확정될 예정이다.","고양시의회는 2019년 제1회 추경예산 편성을 위한 제230회 임시회를 개회하여 지난 5일 예산결산특별위원회를 선출하였다고 7일 전하면서, 세외수입, 지방교부세, 조정교부금, 국도비보조금 등을 반영한 2조5천725억8천300만원의 예산안에 대해 오는 10일까지 각 상임위원회별로 예비심사를 거친 뒤 심사 의결하고 의결된 예산안은 오는 11일에 열리는 제2차 본회의에 회부하여 의결하게 된다고 밝혔다."
9,"시장에서 폭력, 절도, 기타범죄까지 780건을 실시한 폴리그래프검사는 경찰수사에서 조사한 결과 높은 억울한 피해자도 발생하지 않게 하는 것이 전북경찰의 가장 중요한 목표이다.",전북경찰청 형사과 과학수사계 3개소에서는 억울한 피해자가 발생하지 않게 하기 위해 ‘거짓말 탐지검사’라 불리는 폴리그래프를 실시할 뿐만 아니라 검사 장비 및 검사관의 역량 발전에 지속적으로 힘써 과학수사 치안만족도를 향상시키고 공정한 경찰 위상을 정립 하기 위해 노력하겠다고 밝혔다.
