,Generated Text,Actual Text
0,엔터테인먼트는 소속 아티스트 관련 악성 게시물에 대해 어떠한 합의나 선처 없이 엄중하게 법적 조치를 취할 것이라고 밝히며 19일 공식 홈페이지를 통해 악플러 고소 상황을 밝혔다.,가수 강다니엘이 모욕죄 혐의로 악플러에 대한 고소장을 서울강남경찰서에 제출하며 합의나 선처없는 강경 대응을 하겠다고 선언했다.
1,의회 역할 이해 및 입법체험을 위해 운영하고 있는 ‘2019년 안산시 청소년의회’가 지난 7월 22일과 29일 두 차례에 걸쳐 안산시 각 중학교에서 선발된 청소년 의원들이 참석한 가운데 제1·2차 본회의를 열어 의장·부의장 및 상임위원장 선거를 실시한 후 의장단 구성을 마치고 본격적인 활동을 시작했다.,"안산시의회는 지난 7월 22일과 29일에 청소년의회 제1·2차 본회의를 열어 실제 의회의 의장단 선출 과정과 동일한 방식으로 의장·부의장 및 상임위원장 선거를 실시해 ‘2019년 안산시 청소년의회’ 의장단을 구성했으며, 본격적인 활동을 시작했다."
2,와 다이빙 등 12명의 여자선수의 신체 일부분을 불법 촬영한 일본인이 광주지방검찰청과 광산경찰서에 따르면 수영대회 경기장에서 카메라를 이용해 불법 촬영한 혐의로 기소 의견으로 검찰에 송치됐다.,2019 광주세계수영선수권대회에서 18일 일본인A씨가 12명의 여자선수들의 신체 일부분을 불법 촬영하던 중 외국인 선수 관계자의 신고로 잡혀 검찰에 송치됐다.
3,건설은 지난 11일 ‘익산 오투그란데 글로벌카운티’ 모델하우스를 열고 본격 분양에 나서며 단지 내에는 친환경 테마가 적용된 편의·휴게시설이 계획되어 있고 단지 바로 앞에 위치한 외국어교육지원센터를 무료로 이용할 수 있다.,"제일건설은 실수요자들에게 선호도 높은 전용 면적과 효율적인 공간 활용을 강점으로 197세대에 이르는 다양한 주거 공간을 건설해, 이를 홍보하기 위한 일정으로 지난 11일 '익산 오투그란데 글로벌카운티' 모델하우스를 열어 분양에 박차를 가했다."
4,"업종업종 내 상위권을 차지하고 있는 종목들 중 등락률 1위를 차지한 에이치엘비종목의 이시간 등락률은 현재 +14.87%이며, 등락률 2위인 한라IMS종목 등락률은+3.15%이다.","월요일 11시 00분 현재 조선업종 내 상승종목 등락률 1위를 차지한 에이치엘비종목의 이시간 등락률은 +14.87%, 148,300원에 거래되고 있고, 2위인 한라IMS종목 이시간 등락률은 +3.15%, 7,210원에 거래되고 있으며 3위 케이에스피종목의 등락률은 +0.91%, 1,655원에 거래되고 있다."
5,"고유정의 의붓아들 의문사 사건을 수사한 경찰이 고씨와 그의 현 남편 A씨를 의붓아들인 B군(5) 사망 사건과 관련해 살인과 과실치사 혐의로 각각 입건해 수사했으며, 경찰 초동 수사가 나에게만 집중돼 이해할 수 없다며 고소장을 제출했다고 밝혔다.","경찰은 고유정을 살인과 과실치사 혐의로 각각 입건해 5개월이 넘는 수사와 전문가의 자문을 거쳤으며, 고씨가 남편 A씨와 의붓아들인 B군을 살해한 것으로 잠정 결론 내렸다."
6,"형 사물인터넷 기반을 활용한 스마트 원격검침 시스템에 제주시 오라동과 서귀포시 서호동·강정동 관내 수도미터 계량기 1000전이 디지털 수도미터기로 교체되어 실시간으로 정확한 검침 관리를 통해 요금의 투명성을 확보하고 사용량 조회, 누수알림 등의 서비스를 제공할 수 있다.","25일 제주특별자치도는 서호동·강정동 관내 수도미터 계량기 1000전을 디지털 수도미터기로 바꿀 계획이며, 사람이 직접 방문하지 않아도 디지털 수도미터기 및 통신장비를 이용해 수도 사용량을 실시간으로 파악할 수 있는 스마트 원격검침시스템 시범운영에 들어갈 예정이라고 밝혔다."
7,"전원합의체(주심 김선수)는 22일 서울의료원 노동자 548명이 회사를 상대로 낸 임금 청구소송 상고심에서 복지포인트를 통상임금에 포함해 산정한 법정수당을 지급하라""는 원심 판결을 깨고 사건을 서울고법으로 다시 보냈다.","대법원 전원합의체는 22일 복지포인트는 선택적 근로 복지에 해당하기 때문에 근로기준법상 임금이 아니라고 판결했는데, 이번 판결은 복지포인트는 통상임금으로 볼 수 없다는 대법원의 첫 판결이다."
8,"시의회 고양시의회는 2019년 제1회 추경예산 편성을 위한 제230회 임시회를 개회하고 지난 5일 예산결산특별위원회 위원장에 송규근 의원, 부위원장에는 박소정 의원을 각각 선출했다고 7일 밝혔는데, 예결특위는 오는 10일까지 각 상임위원회별로 예비심사를 거친 뒤 심사 의결하고 의결된 예산안은 오는 11일에 열리는 제2차 본회의에 회부돼 최종 확정된다.","고양시의회는 2019년 제1회 추경예산 편성을 위한 제230회 임시회를 개회하여 지난 5일 예산결산특별위원회를 선출하였다고 7일 전하면서, 세외수입, 지방교부세, 조정교부금, 국도비보조금 등을 반영한 2조5천725억8천300만원의 예산안에 대해 오는 10일까지 각 상임위원회별로 예비심사를 거친 뒤 심사 의결하고 의결된 예산안은 오는 11일에 열리는 제2차 본회의에 회부하여 의결하게 된다고 밝혔다."
9,탐지검사로 전북에서는 전주와 익산 3개소에서 운영하고 있는 폴리그래프는 수년전 전주판 도가스 사건으로 불리던 복지재단 관계자의 수년에 걸친 여성 장애인 성폭행사건의 혐의를 부인하던 피의자를 상대로 검사를 실시하여 그의 기록이 신뢰할 수 없음을 통보하여 구속 송치 후 유죄판결을 받았다.,전북경찰청 형사과 과학수사계 3개소에서는 억울한 피해자가 발생하지 않게 하기 위해 ‘거짓말 탐지검사’라 불리는 폴리그래프를 실시할 뿐만 아니라 검사 장비 및 검사관의 역량 발전에 지속적으로 힘써 과학수사 치안만족도를 향상시키고 공정한 경찰 위상을 정립 하기 위해 노력하겠다고 밝혔다.
